SRR12625672.10000984	5236007	16	5236046	100M50S	2048	5227112	51M99H
SRR12625672.10001485	108241856	16	108241909	114M36S	2048	108121502	39M111H
SRR12625672.100015	77216431	16	77216466	112M38S	2048	108121499	40M110H
SRR12625672.10009623	5226997	16	5227054	81M69S	2048	5240450	71M79H
SRR12625672.10010757	69639084	16	69639171	59M91S	2048	69750346	33M117H
SRR12625672.10010792	5227017	16	5227151	78M72S	2048	5224680	72M78H
SRR12625672.1001211	5284966	16	5284983	111M39S	2048	5227101	40M110H
SRR12625672.10014506	5227082	16	5227126	113M37S	2048	4618577	37M113H
SRR12625672.1001612	5227027	16	5227151	41M109S	2048	1460399	30H27M93H
SRR12625672.10019583	5227004	16	5227071	67M83S	2048	90771387	45H22M83H
SRR12625672.10020513	5227124	2064	5227217	44M106H	2048	5225707	47H30M73H
SRR12625672.10025766	5275231	16	5275245	108M42S	2048	5227082	43M107H
SRR12625672.10027838	70834404	16	70834430	112M38S	2064	70753580	111H30M9H
SRR12625672.10032760	6612224	16	6612248	107M43S	2048	6612778	44M106H
SRR12625672.10033848	5227073	16	5227144	108M42S	2048	5228521	19H23M108H
SRR12625672.10035485	5234425	16	5234473	80M70S	2048	5235996	56M94H
SRR12625672.10036491	111955392	0	63764281	95M55S	2064	111955487	55M95H
SRR12625672.10037753	34915662	16	34915741	82M68S	2048	34916112	69M81H
SRR12625672.10040564	108276303	16	108276475	103M47S	2048	108121506	16H31M103H
SRR12625672.10040774	5234419	16	5234472	83M67S	2048	5119487	69M81H
SRR12625672.10046303	5224124	16	5224224	56M94S	2048	5227086	47H48M55H
SRR12625672.1004973	5234836	16	5234908	81M69S	2048	5234498	69M81H
SRR12625672.10051457	65134423	16	65134453	91M59S	2048	65181469	59M91H
SRR12625672.10053318	64060796	0	64134056	97M53S	2064	64060925	54M96H
SRR12625672.10054838	5290204	16	5290253	99M51S	2048	5227081	51M99H
SRR12625672.1005689	59356934	16	59357013	47M103S	2048	370016	37H22M91H
SRR12625672.1005786	4965785	16	4965809	97M53S	2048	5227072	53M97H
SRR12625672.10059020	5234446	0	5234195	26S82M42S	2064	5234555	43M107H
SRR12625672.10059909	5226957	0	5231568	101M49S	2064	5227079	50M100H
SRR12625672.10060192	61911951	16	61912025	69M81S	2048	5237807	60M90H
SRR12625672.10065643	57641544	16	57641553	115M35S	2048	57499721	35M115H
SRR12625672.10066776	5234481	16	5234517	95M55S	2048	5243040	56M94H
SRR12625672.10067659	2377455	16	2377545	99M51S	2048	2303569	30M120H
SRR12625672.10071569	76680831	0	76689047	103M47S	2064	76680924	48M102H
SRR12625672.10074965	6612763	16	6612809	100M50S	2048	108121506	51M99H
SRR12625672.10075213	66288823	16	66288875	75M75S	2064	11563061	86H22M42H
SRR12625672.10075489	66288818	16	66288860	115M35S	2048	66281717	37M113H
SRR12625672.1008400	5226982	0	5131868	114M36S	2064	5227216	36M114H
SRR12625672.10084946	23806749	16	23806786	85M65S	2048	5227119	66M84H
SRR12625672.10089062	5229830	16	5229869	96M54S	2048	5227081	54M96H
SRR12625672.10090641	5227082	16	5227146	111M39S	2048	16606650	39M111H
SRR12625672.10091917	65576072	0	65576112	33S112M5S	2048	65579054	33M117H
SRR12625672.10096023	5226895	16	5227068	88M62S	2048	5227743	63M87H
SRR12625672.10096050	1571825	16	1571898	87M63S	256	94427778	20H22M108H
SRR12625672.10104524	5226519	16	5226569	97M53S	2048	5227072	53M97H
SRR12625672.10106541	5234340	0	5231185	116M34S	2064	5234558	34M116H
SRR12625672.10107381	5228195	16	5228228	100M50S	2048	5227079	50M100H
SRR12625672.10107913	108948273	2064	108948345	54M96H	2048	108948023	23M127H
SRR12625672.10108098	44232428	16	44232471	92M58S	2048	5227156	60M90H
SRR12625672.10108783	5226922	16	5227014	99M51S	2048	5326857	51M99H
SRR12625672.1011845	5226920	16	5227019	116M34S	2048	5269645	35M115H
SRR12625672.10121137	5227077	16	5227119	90M60S	2048	5122230	61M89H
SRR12625672.10141523	73149581	16	73149644	72M78S	2048	73142756	15H41M94H
SRR12625672.10146526	65576141	16	65576190	115M35S	2048	65595154	35M115H
SRR12625672.10148603	5227075	16	5227126	98M52S	2048	5208969	52M98H
