SRR12625672.10001202	70921489	16	70921587	60M90S	2048	70871660	31H59M60H
SRR12625672.10004541	219178297	0	219178451	69M81S	2048	219178139	69H37M44H
SRR12625672.10004767	27050100	16	27050163	94M56S	2048	26998586	56M94H
SRR12625672.10005045	209882106	16	209882191	87M63S	272	208551548	50M100H
SRR12625672.10005896	28392972	2064	28393083	44M106H	256	73586091	23M127H
SRR12625672.10007333	239865469	0	239895277	99M51S	2064	239865580	34M116H
SRR12625672.1001270	219178204	16	219178227	115M35S	2048	219181433	35M115H
SRR12625672.10017480	219294859	0	219178194	86M64S	2064	219294969	69M81H
SRR12625672.10018137	219180385	0	219178217	98M52S	2064	219180481	52M98H
SRR12625672.10019679	128028269	16	128028357	82M68S	2048	128027459	68M82H
SRR12625672.10022545	145433020	16	145433077	82M68S	2048	97995930	68M82H
SRR12625672.10027594	219178194	0	219163862	112M38S	2064	219178315	38M112H
SRR12625672.1003386	219178194	16	219178215	100M50S	2048	219294987	50M100H
SRR12625672.10041603	32165907	0	32356957	76M74S	2064	32166042	23M127H
SRR12625672.10046005	85602722	16	85602759	103M47S	2048	86199649	48M102H
SRR12625672.10056624	46298364	16	46298421	102M48S	2048	46024005	49M101H
SRR12625672.10058841	105790738	16	105790811	75M75S	2064	209444593	75H22M53H
SRR12625672.10069967	219178193	16	219178239	115M35S	2048	219215333	23M127H
SRR12625672.10070324	219177130	16	219177313	111M39S	2048	219178236	44M106H
SRR12625672.10071415	6865816	0	6867150	77M73S	2064	6865919	73M77H
SRR12625672.10073908	26503691	0	26477073	106M44S	2064	26503773	44M106H
SRR12625672.10077313	42144881	16	42144916	95M55S	2048	42169313	55M95H
SRR12625672.10083722	27050083	16	27050123	114M36S	2048	27050730	38M112H
SRR12625672.10089753	217826558	16	217826867	37M113S	2064	116669779	57H26M67H
SRR12625672.10091788	97995538	16	97995634	84M66S	2048	97995951	68M82H
SRR12625672.1009541	97615219	0	96059141	116M34S	256	97615231	116M34H
SRR12625672.10100387	121601485	16	121601533	89M61S	2048	121600155	33H28M89H
SRR12625672.10100566	85556737	16	85556764	107M43S	2048	85539143	43M107H
SRR12625672.10105312	12719132	16	12719212	87M63S	2048	12716949	63M87H
SRR12625672.10110992	219178699	0	219178194	90M60S	2064	219178770	60M90H
SRR12625672.10116359	219216797	16	219216841	89M61S	2064	219178236	88H41M21H
SRR12625672.10117048	27370091	0	27368905	110M40S	2064	27370187	37M113H
SRR12625672.10119364	37200487	16	37200567	59M91S	272	33578542	9H32M109H
SRR12625672.10119516	219627360	16	219627429	85M65S	2048	218868894	65M85H
SRR12625672.1012054	219180676	0	219178210	25S67M58S	2064	219180746	58M92H
SRR12625672.10122092	27049982	16	27050129	113M37S	2048	27085596	37M113H
SRR12625672.10123502	216887192	16	216887260	114M36S	2048	216889313	36M114H
SRR12625672.10131308	113585027	16	113585095	80M70S	2048	113583953	70M80H
SRR12625672.10131674	219178159	0	214946477	103M47S	2064	219178262	48M102H
SRR12625672.10136032	219198822	0	219178217	69M81S	2064	219198917	63M87H
SRR12625672.10141197	6865814	16	6865873	108M42S	2048	6849950	44M106H
SRR12625672.10143890	219557951	16	219558039	35M115S	2064	30132620	34H23M93H
SRR12625672.10153448	27050085	0	27046043	95M55S	2064	27050206	54M96H
SRR12625672.10163530	218854323	0	85776720	105M45S	2064	218854411	45M105H
SRR12625672.10170652	219554926	16	219555025	100M50S	2048	219178227	51M99H
SRR12625672.10187072	219211330	16	219211421	82M68S	2048	219178243	70M80H
SRR12625672.10187721	219038291	16	219038333	101M49S	2048	218957742	19H30M101H
SRR12625672.10192235	131425425	0	132359562	101M49S	2064	131425496	51M99H
SRR12625672.10194849	27050063	16	27050134	103M47S	2064	27049453	102H39M9H
SRR12625672.10195820	219178217	0	219171263	98M52S	2064	219178301	52M98H
SRR12625672.10197744	218271086	16	218271121	104M46S	2048	218323214	46M104H
SRR12625672.10201359	219302147	16	219302191	101M49S	2048	219178227	50M100H
SRR12625672.10203951	61909071	16	61909141	85M65S	2048	61905614	65M85H
SRR12625672.10206198	112055535	16	112055627	83M67S	2048	105331095	68M82H
SRR12625672.10218087	14116656	16	14116757	31M119S	2048	14225732	91H28M31H
SRR12625672.10220508	12513243	16	12513298	113M37S	2048	12716953	37M113H
SRR12625672.10222352	27050100	16	27050125	94M56S	2048	27050556	56M94H
SRR12625672.10224938	25490747	16	25490775	108M42S	2048	25131906	45M105H
SRR12625672.10228579	214775697	16	214775792	72M78S	2064	200135135	71H27M52H
SRR12625672.10236576	120762868	16	120762905	80M70S	2048	120765036	71M79H
SRR12625672.10236962	219557891	16	219557943	96M54S	2048	219558879	55M95H
SRR12625672.10239737	27104983	16	27105035	80M70S	2048	27217326	27H44M79H
SRR12625672.10240230	43155351	0	43186296	84M66S	2064	43155447	67M83H
SRR12625672.10244957	27050052	0	27062739	84M66S	2064	27050191	66M84H
SRR12625672.10246842	7384846	0	39374398	108M42S	2064	7384952	45M105H
SRR12625672.10253359	222319408	16	32916247	11S77M62S	2064	222319533	84H52M14H
SRR12625672.10255057	7384948	16	7384976	114M36S	2048	6603053	38M112H
SRR12625672.10256369	237967238	0	237940803	105M45S	2064	237967351	47M103H
SRR12625672.10257333	72934065	0	72887260	75M75S	2064	72934156	75M75H
SRR12625672.1026360	219178217	16	219178273	107M43S	2064	219177856	105H27M18H
SRR12625672.10267868	196173452	16	196173508	84M66S	2048	219178217	67M83H
SRR12625672.10274749	109614846	16	109614903	104M46S	2048	138929413	46M104H
SRR12625672.10278799	74515274	16	74515298	107M43S	2048	74515852	46M104H
SRR12625672.10280128	217954093	16	217954139	92M58S	2048	222088136	59M91H
SRR12625672.10284923	232310749	16	232310818	84M66S	2048	232306206	68M82H
SRR12625672.10286631	27050143	16	27050183	77M73S	2048	27049873	68M82H
SRR12625672.10289202	217952164	0	217954166	104M46S	2064	217952268	47M103H
SRR12625672.10293046	128028361	16	128028439	77M73S	2048	128027473	74M76H
SRR12625672.10297256	232310698	16	232310746	100M50S	2048	232310059	50M100H
SRR12625672.10306488	95025440	0	83957386	113M37S	2064	95025594	37M113H
SRR12625672.10308597	74553251	16	74553303	98M52S	2064	74555090	98H22M30H
SRR12625672.10310046	132403207	0	197310980	80M70S	2064	132403271	71M79H
SRR12625672.10310586	128028423	0	128030802	96M54S	2064	128028555	55M95H
SRR12625672.10318636	53970910	0	53970727	71M79S	272	32916242	12H64M74H
SRR12625672.10318717	219178217	16	219178466	87M63S	2064	191289222	103H29M18H
SRR12625672.10322422	42169237	16	42169293	78M72S	2048	42133006	72M78H
SRR12625672.10330746	11551377	16	11551394	113M37S	2048	11469656	38M112H
SRR12625672.10341989	172221277	16	172221438	31M119S	2064	98470522	104H22M24H
SRR12625672.10342736	218271186	16	218271223	114M36S	2048	218323232	37M113H
SRR12625672.10345454	219178127	16	219178194	42S92M16S	256	174962662	121H22M7H
SRR12625672.10348923	152717879	0	197500152	103M47S	2064	152717948	47M103H
SRR12625672.1034895	28436671	0	28436694	18S116M16S	2048	107294108	25M125H
SRR12625672.10350279	219178217	16	219178249	104M46S	2048	219282243	47M103H
SRR12625672.10360765	148170985	16	148171041	71M79S	2048	62292527	42H23M85H
SRR12625672.10362879	219297052	16	219297120	82M68S	2064	219178229	82H49M19H
SRR12625672.10370874	112053571	16	112053613	90M60S	2048	112055629	61M89H
SRR12625672.10381063	170973821	0	170929045	88M62S	2064	170973916	62M88H
SRR12625672.10381083	219218503	0	219178193	84M66S	2064	219218583	66M84H
SRR12625672.10382775	219557888	0	219693502	82M68S	2064	219557954	68M82H
SRR12625672.10385041	219179060	0	219178194	83M67S	2064	219178785	9H61M80H
SRR12625672.10385914	219178194	16	219178223	92M58S	2048	219417075	58M92H
SRR12625672.10386976	218468285	16	218468324	113M37S	2048	218323229	37M113H
SRR12625672.10392937	219003196	16	219003271	76M74S	2048	219002475	74M76H
SRR12625672.10395972	42823159	16	42823228	86M64S	2048	232245393	34M116H
SRR12625672.10397696	176062024	16	176062089	79M71S	2048	152717879	73M77H
SRR12625672.10398928	241803862	16	241803892	103M47S	2048	241844209	48M102H
SRR12625672.10399766	219038307	16	219038423	101M49S	2064	219105477	101H35M14H
SRR12625672.10402302	142062231	16	142062267	90M60S	2048	161238901	35H23M92H
SRR12625672.10404194	219178175	16	219178230	92M58S	2048	219279745	63M87H
SRR12625672.10406150	101151356	0	101151368	81M69S	2048	141599053	101H23M26H
SRR12625672.10407530	7387373	16	7387419	86M64S	2048	7384948	64M86H
SRR12625672.10407756	25341889	0	25341894	40M110S	256	190649079	11H24M115H
SRR12625672.10408962	203331481	0	203328871	87M63S	2064	203331570	64M86H
SRR12625672.10411482	113583853	16	113583903	120M30S	2048	189910250	31M119H
SRR12625672.10413246	176165406	16	176165461	91M59S	2048	84394267	59M91H
SRR12625672.10415715	61537379	16	61537449	95M55S	2064	61620630	94H26M30H
SRR12625672.10420525	219158699	0	219178194	84M66S	2064	219158757	67M83H
SRR12625672.10425639	232351263	16	232351387	31M119S	2064	139128747	43H26M81H
SRR12625672.1042744	42237387	16	42237447	86M64S	2048	42169311	64M86H
SRR12625672.10429427	219569610	16	219569651	83M67S	2048	219557956	68M82H
SRR12625672.10429694	218337128	16	218337196	96M54S	2048	218323211	55M95H
SRR12625672.10433867	96839550	16	96839602	112M38S	2048	224320228	26M124H
SRR12625672.10436158	217055198	16	217055337	89M61S	2048	219178241	26H35M89H
SRR12625672.10436391	7384854	0	138970389	79M71S	2064	7384935	71M79H
SRR12625672.104407	240435486	0	240435488	59M91S	256	222866753	112H25M13H
SRR12625672.10441755	219171588	16	219171659	82M68S	2048	219178221	13H59M78H
SRR12625672.1044568	74515872	16	74515919	106M44S	2048	74515603	44M106H
SRR12625672.10450066	189187374	0	7384957	107M43S	2064	189187512	43M107H
SRR12625672.10459310	231002834	16	231002844	111M39S	2048	230962899	39M111H
SRR12625672.1046218	217453614	16	217453641	102M48S	2048	217455138	50M100H
SRR12625672.10466095	85523532	16	85523605	82M68S	2048	85438381	69M81H
SRR12625672.10490491	158972940	16	158972971	96M54S	2064	158968504	96H36M18H
SRR12625672.10498729	232697112	16	232697152	106M44S	2048	226912706	25M125H
SRR12625672.10502172	70942560	16	70942636	80M70S	2048	70871660	70M80H
SRR12625672.10505229	218323213	16	218323301	86M64S	2048	218074070	64M86H
SRR12625672.10508379	27050098	256	52267504	57H54M39H	2064	27050215	40M110H
SRR12625672.10512234	219178446	16	219178535	100M50S	2048	219178227	50M100H
SRR12625672.1051272	7379390	0	7384948	103M47S	2064	7379475	47M103H
SRR12625672.10515374	85600153	16	85602732	56S77M17S	2064	85600232	56M94H
SRR12625672.10518472	70871544	0	71882560	116M34S	2064	70871680	34M116H
SRR12625672.1052241	128028394	16	128028473	89M61S	2048	128027676	62M88H
SRR12625672.10529788	218310420	16	218310441	109M41S	2048	218323217	42M108H
SRR12625672.10532374	28393058	16	28393106	99M51S	2048	28277544	51M99H
SRR12625672.10534932	117289966	16	117290022	88M62S	2048	119408223	62M88H
SRR12625672.10537696	219179051	0	219178194	83M67S	2064	219179180	68M82H
SRR12625672.10538038	217826586	16	217826648	93M57S	2064	217874291	91H54M5H
SRR12625672.10543144	232351329	16	232351421	93M57S	2048	232349103	30M120H
SRR12625672.10544866	218991338	0	219178175	102M48S	2064	218991440	48M102H
SRR12625672.10544915	26503681	16	26503704	113M37S	2048	26521359	37M113H
SRR12625672.10555908	239231367	16	239231383	107M43S	2048	239241533	44M106H
SRR12625672.10566491	12633102	16	12633130	106M44S	2048	12716953	45M105H
SRR12625672.10566508	27050052	0	27049463	89M61S	2064	27050161	61M89H
SRR12625672.10571768	197705143	0	197681640	121M29S	2064	197705247	30M120H
SRR12625672.10573485	219178212	16	219178248	105M45S	2048	219301041	13H33M104H
