0	1	2	3	4	5	6	7	8	9	10	11
SRR12625674.10000513	113226223	16	113226245	111M39S	2048	113225638	40M110H	111	40	113226356	113225677
SRR12625674.10029593	97976538	16	97976553	108M42S	2048	98577175	45M105H	108	45	97976661	98577219
SRR12625674.10036196	113208152	16	113208160	109M41S	2048	113194096	42M108H	109	42	113208269	113194137
SRR12625674.10102774	97976526	2048	104344731	22H33M95H	2048	97976523	23M127H	33	23	104344764	97976545
SRR12625674.10115458	44279119	16	44279182	69M81S	2048	44312865	49H34M67H	69	34	44279251	44312898
SRR12625674.10125718	20414919	0	40061998	94M56S	2064	20415027	59M91H	94	59	40062092	20415085
SRR12625674.10159145	113788756	16	113788833	76M74S	2064	113785120	76H53M21H	76	53	113788909	113785172
SRR12625674.10162744	29548730	16	29548753	112M38S	2048	29595823	38M112H	112	38	29548865	29595860
SRR12625674.10192539	20415001	0	20419831	83M67S	2064	20415086	69M81H	83	69	20419914	20415154
SRR12625674.10229560	113825264	0	113826086	84M66S	2064	113825319	69M81H	84	69	113826170	113825387
SRR12625674.10236364	36999341	16	36999382	100M50S	2048	37000883	50M100H	100	50	36999482	37000932
SRR12625674.10289423	113860608	0	113826159	89M61S	2064	113860696	63M87H	89	63	113826248	113860758
SRR12625674.1029486	36999331	16	36999363	117M33S	2048	36999935	36M114H	117	36	36999480	36999970
SRR12625674.10317079	97975884	16	97975959	75M75S	2048	97976576	75M75H	75	75	97976034	97976650
SRR12625674.10333163	35975596	16	35975655	87M63S	2048	35975138	64M86H	87	64	35975742	35975201
SRR12625674.10343993	113852175	16	113852276	65M85S	2048	113826096	64M86H	65	64	113852341	113826159
SRR12625674.10355756	25096702	16	25096768	83M67S	2048	25096429	68M82H	83	68	25096851	25096496
SRR12625674.10397481	36999306	0	36998573	82M68S	2064	36999402	68M82H	82	68	36998655	36999469
SRR12625674.10426013	27718062	2048	27830023	51M99H	2064	27718174	24M126H	51	24	27830074	27718197
SRR12625674.10459147	100098293	0	100089258	97M53S	2064	100098368	53M97H	97	53	100089355	100098420
SRR12625674.10472752	36834411	0	36999343	97M53S	2064	36834517	53M97H	97	53	36999440	36834569
SRR12625674.10489544	98693685	16	98693752	90M60S	2048	97976600	61M89H	90	61	98693842	97976660
SRR12625674.1050232	39652856	0	39655582	70M80S	2064	39653039	60M90H	70	60	39655652	39653098
SRR12625674.10548920	20417589	16	20417639	100M50S	2048	20415038	52M98H	100	52	20417739	20415089
SRR12625674.10554212	36999337	16	36999372	87M63S	2048	37059714	64M86H	87	64	36999459	37059777
SRR12625674.10574857	30702598	16	30702666	93M57S	2048	30703450	59M91H	93	59	30702759	30703508
SRR12625674.10602275	20414979	0	20415409	81M69S	2064	20415074	69M81H	81	69	20415490	20415142
SRR12625674.10634080	19993423	0	20415006	118M32S	2064	19993549	33M117H	118	33	20415124	19993581
SRR12625674.10644013	113788766	16	113788790	108M42S	2048	86965871	35M115H	108	35	113788898	86965905
SRR12625674.10646044	100645777	16	100645785	106M44S	2048	100644386	46M104H	106	46	100645891	100644431
