H_chr	H_start	H_end	Harbor	TE_chr	TE_start	TE_end	TE	score	TE_strand	TE_half	TE_middle_pos	TE_dis
chr10	120908444	121108444	harbor2	chr10	120909969	120910505	LTR/ERV1	3934	-	268	120910237	1793
chr10	120908444	121108444	harbor2	chr10	120910670	120910950	LTR/ERVL-MaLR	956	-	140	120910810	2366
chr10	120908444	121108444	harbor2	chr10	120918837	120919151	SINE/Alu	2001	+	157	120918994	10550
chr10	120908444	121108444	harbor2	chr10	120919159	120919262	SINE/Alu	781	+	52	120919211	10767
chr10	120908444	121108444	harbor2	chr10	120919257	120919374	SINE/Alu	879	+	58	120919315	10871
chr10	120908444	121108444	harbor2	chr10	120919375	120922376	LINE/L1	19446	+	1500	120920875	12431
chr10	120908444	121108444	harbor2	chr10	120922478	120922752	SINE/Alu	1931	+	137	120922615	14171
chr10	120908444	121108444	harbor2	chr10	120922796	120923098	SINE/Alu	2304	-	151	120922947	14503
chr10	120908444	121108444	harbor2	chr10	120923200	120923403	DNA/hAT-Charlie	526	+	102	120923302	14858
chr10	120908444	121108444	harbor2	chr10	120923642	120924967	LTR/ERV1	9195	+	662	120924304	15860
chr10	120908444	121108444	harbor2	chr10	120928488	120928705	DNA/hAT-Charlie	682	-	108	120928596	20152
chr10	120908444	121108444	harbor2	chr10	120928891	120929210	SINE/Alu	2397	-	160	120929051	20607
chr10	120908444	121108444	harbor2	chr10	120929862	120930036	SINE/MIR	541	+	87	120929949	21505
chr10	120908444	121108444	harbor2	chr10	120931017	120931113	DNA/hAT-Blackjack	423	-	48	120931065	22621
chr10	120908444	121108444	harbor2	chr10	120932684	120933112	LTR/ERVL-MaLR	1216	+	214	120932898	24454
chr10	120908444	121108444	harbor2	chr10	120933646	120933856	DNA/hAT-Charlie	586	+	105	120933751	25307
chr10	120908444	121108444	harbor2	chr10	120934370	120934930	LTR/ERVL	2034	-	280	120934650	26206
chr10	120908444	121108444	harbor2	chr10	120935122	120935423	SINE/Alu	2131	-	150	120935272	26828
chr10	120908444	121108444	harbor2	chr10	120935485	120936259	LINE/L1	1629	-	387	120935872	27428
chr10	120908444	121108444	harbor2	chr10	120936359	120936522	LINE/L1	513	-	82	120936441	27997
