0	1	2	3	4	5	6	7	8	9	10	11
SRR12625672.10000893	167553381	16	167553423	118M32S	2048	162383091	32M118H	118	32	167553541	162383122
SRR12625672.10001925	2475146	0	33207409	79M71S	2064	2475215	53M97H	79	53	33207488	2475267
SRR12625672.10007110	228208167	0	16644722	16S79M55S	2064	228208273	55M95H	79	55	16644801	228208327
SRR12625672.10007608	43861213	16	43861302	47M103S	2048	43860652	23M127H	47	23	43861349	43860674
SRR12625672.10008262	16649209	16	16649231	2S113M35S	2048	16644745	35M115H	113	35	16649344	16644779
SRR12625672.10010917	7450413	16	7450512	91M59S	2064	41941581	109H22M19H	91	22	7450603	41941602
SRR12625672.10021000	17056488	16	17056533	82M68S	2048	16644722	68M82H	82	68	17056615	16644789
SRR12625672.10021970	22057251	16	22057269	111M39S	2064	203305443	107H31M12H	111	31	22057380	203305473
SRR12625672.1002291	16725142	16	16725254	51M99S	2048	187305944	78H23M49H	51	23	16725305	187305966
SRR12625672.10023641	16765105	0	16644700	80M70S	2064	16765181	71M79H	80	71	16644780	16765251
SRR12625672.10023933	211133651	16	211133687	94M56S	2064	211289437	94H39M17H	94	39	211133781	211289475
SRR12625672.10025275	66752305	0	200101292	98M52S	2064	66752463	52M98H	98	52	200101390	66752514
SRR12625672.10026452	11781436	16	16644730	63S58M29S	2064	11781530	49M101H	58	49	16644788	11781578
SRR12625672.10027821	63367126	16	63367173	106M44S	2048	53513948	44M106H	106	44	63367279	53513991
SRR12625672.10029600	26695763	16	26695890	42M108S	2064	17780993	40H24M86H	42	24	26695932	17781016
SRR12625672.1003028	59814503	0	59814519	40M110S	2064	148522498	77H27M46H	40	27	59814559	148522524
SRR12625672.10032952	9858479	16	9858563	110M40S	2048	9588706	42M108H	110	42	9858673	9588747
SRR12625672.10035115	16644346	16	16644385	113M37S	2048	16644742	37M113H	113	37	16644498	16644778
SRR12625672.10035637	18841384	16	18841448	100M50S	2048	16644730	50M100H	100	50	18841548	16644779
