0	1	2	3	4	5	6	7	8	9	10	11
SRR12625672.10005242	61771413	0	35546108	79M71S	2064	61771477	71M79H	79	71	35546187	61771547
SRR12625672.10005481	80059741	16	80059826	90M60S	2048	85077457	61M89H	90	61	80059916	85077517
SRR12625672.10006300	25443620	16	25443655	113M37S	2048	25439104	37M113H	113	37	25443768	25439140
SRR12625672.10014689	35546151	16	35546213	86M64S	2048	35554806	64M86H	86	64	35546299	35554869
SRR12625672.10014692	35546092	16	35546168	95M55S	2048	35547711	58M92H	95	58	35546263	35547768
SRR12625672.10018986	71810256	16	71810319	86M64S	2048	70859602	64M86H	86	64	71810405	70859665
SRR12625672.10028493	35546140	16	35546182	110M40S	2048	35548286	40M110H	110	40	35546292	35548325
SRR12625672.10028869	25438922	16	25438979	107M43S	2048	25436477	12H31M107H	107	31	25439086	25436507
SRR12625672.10036809	75047030	16	75047114	78M72S	2048	75310100	73M77H	78	73	75047192	75310172
SRR12625672.10037509	35546632	16	35546705	84M66S	2048	35546116	66M84H	84	66	35546789	35546181
SRR12625672.10041453	25438952	0	25173176	115M35S	2064	25439043	35M115H	115	35	25173291	25439077
SRR12625672.10042466	29432740	16	29432776	108M42S	2064	29436477	108H24M18H	108	24	29432884	29436500
SRR12625672.10043970	76664820	16	76664865	111M39S	2048	29269856	39M111H	111	39	76664976	29269894
SRR12625672.10047067	35546014	16	35546070	114M36S	2048	35545478	36M114H	114	36	35546184	35545513
SRR12625672.10068228	35703292	16	35703347	107M43S	2048	35546144	43M107H	107	43	35703454	35546186
SRR12625672.10069821	35521395	16	35521459	83M67S	2048	35546116	67M83H	83	67	35521542	35546182
SRR12625672.10086691	35546125	0	39142195	105M45S	2064	35546243	45M105H	105	45	39142300	35546287
SRR12625672.10094607	35545981	16	35546080	101M49S	2048	67848916	19H23M108H	101	23	35546181	67848938
SRR12625672.1010260	63502475	16	63502475	3S121M26S	2048	63505225	28M122H	121	28	63502596	63505252
SRR12625672.10106490	42736718	16	42736763	102M48S	2048	42722923	48M102H	102	48	42736865	42722970
SRR12625672.10108760	35682941	16	35683027	87M63S	2048	35546127	63M87H	87	63	35683114	35546189
SRR12625672.1011231	60435068	16	60435183	69M81S	272	100239026	34H35M81H	69	35	60435252	100239060
SRR12625672.10119509	67521607	16	67521679	79M71S	2048	82831578	71M79H	79	71	67521758	82831648
SRR12625672.10128156	50418914	16	50418957	91M59S	2048	50424320	59M91H	91	59	50419048	50424378
SRR12625672.10132951	29269748	16	29269782	112M38S	2048	29270189	38M112H	112	38	29269894	29270226
SRR12625672.10139493	55588052	16	55588069	113M37S	2048	55771018	37M113H	113	37	55588182	55771054
SRR12625672.10142058	35546426	16	35546539	117M33S	2048	35546151	35M115H	117	35	35546656	35546185
SRR12625672.10153726	72196802	16	72196926	82M68S	2048	72118052	69M81H	82	69	72197008	72118120
SRR12625672.10159199	35545777	16	35545804	99M51S	2048	35546136	51M99H	99	51	35545903	35546186
SRR12625672.10160296	35546026	16	35546074	115M35S	2048	35556685	35M115H	115	35	35546189	35556719
SRR12625672.10170273	42877077	16	42877088	111M39S	2048	35546148	39M111H	111	39	42877199	35546186
SRR12625672.10170888	31870593	16	31870713	82M68S	2048	31859090	69M81H	82	69	31870795	31859158
SRR12625672.10193674	49116728	16	49116769	75M75S	2064	86232560	93H23M34H	75	23	49116844	86232582
SRR12625672.10194721	29433769	16	29433789	114M36S	2048	29432866	37M113H	114	37	29433903	29432902
SRR12625672.10199092	77989638	0	77990385	81M69S	2064	77989737	69M81H	81	69	77990466	77989805
SRR12625672.10222744	23766989	16	23767065	47M103S	2048	60592673	64H26M60H	47	26	23767112	60592698
SRR12625672.10228967	29282140	16	29282228	85M65S	2064	29269856	85H38M27H	85	38	29282313	29269893
SRR12625672.10229686	35546029	16	35546086	96M54S	2048	35555527	54M96H	96	54	35546182	35555580
SRR12625672.10232375	35545633	16	35545659	99M51S	2048	35546151	20H32M98H	99	32	35545758	35546182
SRR12625672.10246270	67521593	0	67521625	27S117M6S	2048	67541680	27M123H	117	27	67521742	67541706
SRR12625672.10258262	35546118	16	35546140	99M51S	2048	35548395	51M99H	99	51	35546239	35548445
SRR12625672.10260262	35546093	16	35546169	115M35S	2048	41939020	35M115H	115	35	35546284	41939054
SRR12625672.10261364	35546036	16	35546072	111M39S	2048	35535975	40M110H	111	40	35546183	35536014
SRR12625672.10277072	77759343	16	77759365	110M40S	2048	77759689	40M110H	110	40	77759475	77759728
SRR12625672.10282108	84981661	16	84981675	111M39S	2048	84982028	39M111H	111	39	84981786	84982066
SRR12625672.10286185	35546028	16	35546148	79M71S	2048	35542229	71M79H	79	71	35546227	35542299
SRR12625672.10293663	65517672	16	65517685	100M50S	2048	65870217	50M100H	100	50	65517785	65870266
SRR12625672.10303698	32718694	16	32718810	67M83S	256	17081908	24M126H	67	24	32718877	17081931
SRR12625672.1031453	41971978	16	41972024	114M36S	2048	81128258	36M114H	114	36	41972138	81128293
SRR12625672.10318603	89378830	16	89378934	81M69S	2048	90265619	12H59M79H	81	59	89379015	90265677
SRR12625672.10320313	101961394	16	101961425	98M52S	2048	90649393	52M98H	98	52	101961523	90649444
SRR12625672.10321398	63505077	16	63505144	120M30S	2048	63307375	32M118H	120	32	63505264	63307406
SRR12625672.10324276	35545417	16	35545426	109M41S	2048	35546141	41M109H	109	41	35545535	35546181
SRR12625672.10334879	35529617	16	35529661	107M43S	2048	35546144	43M107H	107	43	35529768	35546186
SRR12625672.10347021	63505083	16	63505199	83M67S	2048	63511612	47M103H	83	47	63505282	63511658
SRR12625672.10368319	84981670	16	84981684	117M33S	2048	84980403	33M117H	117	33	84981801	84980435
SRR12625672.10373189	35546093	16	35546201	81M69S	2064	35546996	81H35M34H	81	35	35546282	35547030
SRR12625672.10379644	35524894	16	35524934	83M67S	2048	35546122	69M81H	83	69	35525017	35546190
SRR12625672.10381725	35546067	16	35546086	99M51S	2048	35538528	54M96H	99	54	35546185	35538581
SRR12625672.10382512	29432828	0	80392345	111M39S	2064	29433049	40M110H	111	40	80392456	29433088
SRR12625672.10387833	35546026	16	35546097	90M60S	2048	32615363	61M89H	90	61	35546187	32615423
SRR12625672.10389769	63505812	16	63505821	110M40S	2048	63505220	41M109H	110	41	63505931	63505260
SRR12625672.10390064	35545719	16	35545837	116M34S	2048	35546151	36M114H	116	36	35545953	35546186
SRR12625672.10392647	39707297	0	35546125	19S77M54S	2064	39707402	55M95H	77	55	35546202	39707456
SRR12625672.10394646	35545986	16	35546105	82M68S	2048	35586017	69M81H	82	69	35546187	35586085
SRR12625672.10395359	75453828	16	75453864	104M46S	2048	63505213	46M104H	104	46	75453968	63505258
SRR12625672.10396092	29292664	16	29292744	106M44S	2048	29432860	44M106H	106	44	29292850	29432903
SRR12625672.10402269	60903964	0	60591919	16S100M34S	2064	60904053	34M116H	100	34	60592019	60904086
SRR12625672.10406577	67521586	16	67521651	112M38S	2048	67522518	38M112H	112	38	67521763	67522555
SRR12625672.10409082	35546015	16	35546083	104M46S	2048	37055192	47M103H	104	47	35546187	37055238
SRR12625672.10424523	60591914	16	60591961	88M62S	2048	60592284	62M88H	88	62	60592049	60592345
SRR12625672.10425714	74836917	16	74836959	106M44S	2048	74843138	44M106H	106	44	74837065	74843181
SRR12625672.10434892	35547373	16	35547453	86M64S	2048	35546141	64M86H	86	64	35547539	35546204
SRR12625672.10438017	74255449	16	74255506	96M54S	2048	74256130	55M95H	96	55	74255602	74256184
SRR12625672.10438843	76342092	16	76342125	110M40S	2048	76178260	40M110H	110	40	76342235	76178299
SRR12625672.10439327	35546096	16	35546149	91M59S	2048	74738181	24H22M104H	91	22	35546240	74738202
SRR12625672.10440037	35546014	16	35546147	31M119S	2048	76086779	74H26M50H	31	26	35546178	76086804
SRR12625672.10444412	63504689	16	63504794	87M63S	2048	63505230	63M87H	87	63	63504881	63505292
SRR12625672.10448199	39878148	16	39878222	73M77S	2064	39921009	73H46M31H	73	46	39878295	39921054
SRR12625672.10451796	32413626	16	32413701	56M94S	2064	34038877	70H22M58H	56	22	32413757	34038898
SRR12625672.10458349	35561011	16	35561118	107M43S	2048	35546144	43M107H	107	43	35561225	35546186
SRR12625672.10465981	31214653	16	31214747	87M63S	2048	31501630	63M87H	87	63	31214834	31501692
SRR12625672.10475806	63505070	0	63506387	100M50S	2064	63505207	50M100H	100	50	63506487	63505256
SRR12625672.10480632	63505163	16	63505201	101M49S	2048	43031550	50M100H	101	50	63505302	43031599
SRR12625672.1048875	63495539	16	63495578	104M46S	2048	63505213	46M104H	104	46	63495682	63505258
SRR12625672.10496318	35546014	0	36293176	107M43S	2064	35546144	43M107H	107	43	36293283	35546186
SRR12625672.1050317	74596375	16	74596550	77M73S	2048	74597096	74M76H	77	74	74596627	74597169
SRR12625672.10506316	66842811	16	66842851	117M33S	2048	66698270	33M117H	117	33	66842968	66698302
SRR12625672.10507039	35545175	16	35545244	93M57S	2048	35546136	57M93H	93	57	35545337	35546192
SRR12625672.10509400	29258723	16	29258762	98M52S	2064	29269848	96H47M7H	98	47	29258860	29269894
SRR12625672.10510322	29261931	16	29261950	111M39S	2048	29269856	40M110H	111	40	29262061	29269895
SRR12625672.10516787	35546144	16	35546219	102M48S	2048	25388415	48M102H	102	48	35546321	25388462
SRR12625672.10526211	101304718	16	101304799	80M70S	2048	41116188	47H22M81H	80	22	101304879	41116209
SRR12625672.10526325	35545996	0	93887546	113M37S	2064	35546150	37M113H	113	37	93887659	35546186
SRR12625672.10530631	35546150	0	35543153	73M77S	2064	35546348	38M112H	73	38	35543226	35546385
SRR12625672.10531269	93159731	16	93159833	88M62S	2064	60592673	108H26M16H	88	26	93159921	60592698
SRR12625672.10536155	63505536	16	63505549	117M33S	2048	63505226	33M117H	117	33	63505666	63505258
SRR12625672.10536192	35546150	16	35546203	118M32S	2048	35542808	33M117H	118	33	35546321	35542840
SRR12625672.10538035	35546054	16	35546113	103M47S	2048	67408412	47M103H	103	47	35546216	67408458
SRR12625672.10545260	101642897	0	82952581	96M54S	2064	101642974	54M96H	96	54	82952677	101643027
SRR12625672.10545726	35546054	16	35546093	117M33S	2048	41658488	34M116H	117	34	35546210	41658521
SRR12625672.10553885	63505077	0	63505676	85M65S	2064	63505184	67M83H	85	67	63505761	63505250
SRR12625672.10567156	35546054	16	35546103	84M66S	2048	35511588	66M84H	84	66	35546187	35511653
SRR12625672.10584869	67521593	16	67521611	104M46S	2048	67554743	46M104H	104	46	67521715	67554788
SRR12625672.1058780	55289421	16	55289476	92M58S	2048	55289910	58M92H	92	58	55289568	55289967
SRR12625672.10593119	67521586	0	67521607	22S117M11S	2048	68301761	23M127H	117	23	67521724	68301783
SRR12625672.10595935	63499924	16	63499940	112M38S	2048	63505213	38M112H	112	38	63500052	63505250
SRR12625672.10596072	63505091	16	63505145	107M43S	2048	63569042	44M106H	107	44	63505252	63569085
SRR12625672.10600389	36915539	16	36915596	109M41S	2048	35546145	42M108H	109	42	36915705	35546186
SRR12625672.10605426	63505078	16	63505143	110M40S	2048	63505739	42M108H	110	42	63505253	63505780
SRR12625672.10612233	67521537	16	67521588	101M49S	2048	67542643	49M101H	101	49	67521689	67542691
SRR12625672.10622943	35546124	0	35535422	78M72S	2064	35546196	73M77H	78	73	35535500	35546268
