0	1	2	3	4	5	6	7	8	9	10	11
SRR12625674.10025894	18374802	16	18374832	110M40S	2048	18354680	40M110H	110	40	18374942	18354719
SRR12625674.10037464	72306728	16	72306778	86M64S	2048	72383117	64M86H	86	64	72306864	72383180
SRR12625674.10039257	47070658	16	47070680	100M50S	256	1305037	50H81M19H	100	81	47070780	1305117
SRR12625674.10079440	21368356	16	21368458	92M58S	2048	21374139	58M92H	92	58	21368550	21374196
SRR12625674.10135210	153509716	16	153509771	108M42S	2048	153510192	28M122H	108	28	153509879	153510219
SRR12625674.1013980	72307653	0	72306825	81M69S	2064	72307701	70M80H	81	70	72306906	72307770
SRR12625674.10147960	135449914	16	135449939	101M49S	2048	153488874	28H24M98H	101	24	135450040	153488897
SRR12625674.10148687	133906535	0	135407603	75M75S	2064	133906608	46M104H	75	46	135407678	133906653
SRR12625674.10156197	21374140	16	21374177	105M45S	2048	131149779	46M104H	105	46	21374282	131149824
SRR12625674.10322811	72306731	0	72306653	72M78S	2064	2330070	50H22M78H	72	22	72306725	2330091
SRR12625674.10335993	153509732	16	153509796	108M42S	2048	153533906	43M107H	108	43	153509904	153533948
SRR12625674.10359812	155952534	16	155952634	80M70S	2064	2624460	79H22M49H	80	22	155952714	2624481
SRR12625674.10394869	41334493	16	41334527	85M65S	256	33668466	15H30M105H	85	30	41334612	33668495
SRR12625674.10494818	149941068	16	149538762	27S119M4S	256	149941083	4H119M27H	119	119	149538881	149941201
SRR12625674.10509272	49053640	16	49053682	110M40S	2048	49055691	40M110H	110	40	49053792	49055730
SRR12625674.10517126	153509684	16	153509764	108M42S	2048	68892637	44M106H	108	44	153509872	68892680
SRR12625674.10523885	9923994	16	9924081	86M64S	2048	9890591	64M86H	86	64	9924167	9890654
SRR12625674.10542239	72143581	0	72146563	94M56S	2064	72143691	57M93H	94	57	72146657	72143747
SRR12625674.10658859	56532884	16	56532919	97M53S	2048	56563498	54M96H	97	54	56533016	56563551
SRR12625674.10683330	2630817	0	1392110	81M69S	2064	2630920	66M84H	81	66	1392191	2630985
SRR12625674.10716499	116620972	16	116621058	55M95S	2048	56563505	47M103H	55	47	116621113	56563551
SRR12625674.1073794	53984890	16	53984928	115M35S	2048	53981583	36M114H	115	36	53985043	53981618
SRR12625674.10745369	103832231	16	103832312	92M58S	2048	103832632	58M92H	92	58	103832404	103832689
SRR12625674.10828163	56572665	16	56572710	99M51S	2064	56563504	98H47M5H	99	47	56572809	56563550
SRR12625674.10854636	139932484	16	139932561	109M41S	2064	35419317	119H27M4H	109	27	139932670	35419343
SRR12625674.1091065	17376266	16	17376320	100M50S	2048	19100873	51M99H	100	51	17376420	19100923
SRR12625674.10916965	49186192	16	49186217	95M55S	2064	49166432	95H37M18H	95	37	49186312	49166468
SRR12625674.10924938	103832179	0	71284703	118M32S	2064	103832331	32M118H	118	32	71284821	103832362
SRR12625674.11057250	24134932	16	24135013	88M62S	272	23973736	88M62H	88	88	24135101	23973823
SRR12625674.11148868	103832217	16	103832246	117M33S	2048	103841117	34M116H	117	34	103832363	103841150
SRR12625674.11198691	153588085	0	153489877	86M64S	2064	153588217	64M86H	86	64	153489963	153588280
SRR12625674.11297565	153444997	16	153445022	94M56S	2048	153443684	56M94H	94	56	153445116	153443739
SRR12625674.1133884	72306743	0	72306697	26M124S	2048	103203614	81H23M46H	26	23	72306723	103203636
SRR12625674.11397785	153952656	16	153952721	88M62S	2048	153867701	64M86H	88	64	153952809	153867764
SRR12625674.11544759	130177366	0	72306816	75M75S	2064	130177417	75M75H	75	75	72306891	130177491
SRR12625674.11554407	18354541	16	18354649	110M40S	2048	18275428	40M110H	110	40	18354759	18275467
SRR12625674.11629024	153588036	16	153588077	98M52S	2048	153906692	52M98H	98	52	153588175	153906743
SRR12625674.11678498	18349166	16	18349188	113M37S	2048	18354683	37M113H	113	37	18349301	18354719
SRR12625674.1173423	153588076	0	130825508	92M58S	2064	153588168	61M89H	92	61	130825600	153588228
SRR12625674.11915683	103832143	16	103832200	116M34S	2048	103189082	35M115H	116	35	103832316	103189116
SRR12625674.11968434	21374035	16	21374055	113M37S	2048	17219545	37M113H	113	37	21374168	17219581
SRR12625674.11979600	49053578	16	49053619	104M46S	2048	49118347	48M102H	104	48	49053723	49118394
SRR12625674.12059302	72306802	16	72306847	95M55S	2048	72304294	55M95H	95	55	72306942	72304348
SRR12625674.12240839	55488562	16	55488635	114M36S	2048	55489217	36M114H	114	36	55488749	55489252
SRR12625674.12275228	3665629	16	3665679	88M62S	2048	41334532	62M88H	88	62	3665767	41334593
SRR12625674.1230295	800347	16	800367	118M32S	2048	7148156	32M118H	118	32	800485	7148187
SRR12625674.12345668	53256806	16	53256850	117M33S	2048	53261556	33M117H	117	33	53256967	53261588
SRR12625674.12351862	153508521	0	153517875	85M65S	2064	153508618	44M106H	85	44	153517960	153508661
SRR12625674.12380055	18368358	0	18354649	31S71M48S	2064	18368451	48M102H	71	48	18354720	18368498
SRR12625674.12380111	53256846	16	53256894	114M36S	2048	53257573	36M114H	114	36	53257008	53257608
